section,engine,variant,case,threads,ms,mb_s,size_mb,pixels_ok,note
full,GDAL GTiff,orig,default,4,345.5,1047,236.7,True,
full,GDAL LIBERTIFF,orig,default,4,326.0,1110,236.7,True,
full,tifffile,orig,default,4,725.5,499,236.7,True,
full,GDAL GTiff,deflate-band-1024,default,4,338.4,1069,234.0,True,
full,GDAL LIBERTIFF,deflate-band-1024,default,4,302.2,1197,234.0,True,
full,tifffile,deflate-band-1024,default,4,703.4,514,234.0,True,
full,GDAL GTiff,zstd-band-1024,default,4,196.8,1838,230.4,True,
full,GDAL LIBERTIFF,zstd-band-1024,default,4,165.9,2180,230.4,True,
full,tifffile,zstd-band-1024,default,4,570.0,635,230.4,True,
full,GDAL GTiff,deflate-band-512,default,4,349.9,1034,232.8,True,
full,GDAL LIBERTIFF,deflate-band-512,default,4,315.3,1147,232.8,True,
full,tifffile,deflate-band-512,default,4,714.5,506,232.8,True,
full,GDAL GTiff,none-band-1024,default,4,45.7,7911,380.6,True,
full,GDAL LIBERTIFF,none-band-1024,default,4,38.4,9413,380.6,True,
full,tifffile,none-band-1024,default,4,581.1,622,380.6,True,
full,rumi,planar>pfor@1024,"bytes, verify=False",4,135.8,2664,249.8,True,
rumi,rumi,planar>pfor@1024,"path, verify=False",4,149.3,2423,249.8,True,
window,rumi,planar>pfor@1024,"band 1 only, full extent",4,81.1,1486,,True,
window,rumi,planar>pfor@1024,16x1024 aligned,4,56.6,889,,True,
window,rumi,planar>pfor@1024,16x1024 aligned b1,4,34.7,483,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half,4,73.7,683,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half b1,4,57.4,292,,True,
full,rumi,planar>pfor@1024@b,"bytes, verify=False",4,118.6,3051,249.8,True,
rumi,rumi,planar>pfor@1024@b,"path, verify=False",4,139.5,2593,249.8,True,
window,rumi,planar>pfor@1024@b,"band 1 only, full extent",4,41.4,2913,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned,4,20.0,2512,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned b1,4,9.4,1790,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half,4,46.5,1083,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half b1,4,20.5,819,,True,
full,rumi,planar>pfor@512,"bytes, verify=False",4,127.4,2839,249.7,True,
rumi,rumi,planar>pfor@512,"path, verify=False",4,147.8,2447,249.7,True,
window,rumi,planar>pfor@512,"band 1 only, full extent",4,76.7,1571,,True,
window,rumi,planar>pfor@512,16x1024 aligned,4,29.4,1714,,True,
window,rumi,planar>pfor@512,16x1024 aligned b1,4,16.0,1048,,True,
window,rumi,planar>pfor@512,16x1024 offset-half,4,29.2,1722,,True,
window,rumi,planar>pfor@512,16x1024 offset-half b1,4,16.6,1013,,True,
full,rumi,planar>zstd@1024,"bytes, verify=False",4,221.2,1635,224.2,True,
rumi,rumi,planar>zstd@1024,"path, verify=False",4,233.5,1549,224.2,True,
window,rumi,planar>zstd@1024,"band 1 only, full extent",4,166.7,723,,True,
window,rumi,planar>zstd@1024,16x1024 aligned,4,93.7,537,,True,
window,rumi,planar>zstd@1024,16x1024 aligned b1,4,72.3,232,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half,4,154.5,326,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half b1,4,145.2,116,,True,
rumi,rumi,planar>pfor@1024,"bytes, verify=True",4,141.4,2559,249.8,True,
rumi,rumi,planar>pfor@1024@b,"bytes, verify=True",4,125.2,2889,249.8,True,
rumi,rumi,planar>pfor@512,"bytes, verify=True",4,132.9,2722,249.7,True,
rumi,rumi,planar>zstd@1024,"bytes, verify=True",4,223.3,1620,224.2,True,
window,GDAL GTiff,orig,16x1024 aligned,4,167.0,301,,True,
window,GDAL GTiff,orig,16x1024 aligned b1,4,163.8,102,,True,
window,GDAL GTiff,orig,16x1024 offset-half,4,210.8,239,,True,
window,GDAL GTiff,orig,16x1024 offset-half b1,4,202.7,83,,True,
window,GDAL GTiff,orig,"band 1 only, full extent",4,356.1,339,,True,
window,GDAL LIBERTIFF,orig,16x1024 aligned,4,163.9,307,,True,
window,GDAL LIBERTIFF,orig,16x1024 aligned b1,4,162.1,103,,True,
window,GDAL LIBERTIFF,orig,16x1024 offset-half,4,192.7,261,,True,
window,GDAL LIBERTIFF,orig,16x1024 offset-half b1,4,177.7,94,,True,
window,GDAL LIBERTIFF,orig,"band 1 only, full extent",4,295.7,408,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 aligned,4,60.3,835,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 aligned b1,4,57.8,290,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 offset-half,4,156.8,321,,True,
window,GDAL GTiff,deflate-band-1024,16x1024 offset-half b1,4,61.8,271,,True,
window,GDAL GTiff,deflate-band-1024,"band 1 only, full extent",4,116.7,1033,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 aligned,4,55.0,914,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 aligned b1,4,53.5,313,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 offset-half,4,175.3,287,,True,
window,GDAL LIBERTIFF,deflate-band-1024,16x1024 offset-half b1,4,60.9,275,,True,
window,GDAL LIBERTIFF,deflate-band-1024,"band 1 only, full extent",4,103.6,1163,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 aligned,4,35.5,1418,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 aligned b1,4,30.0,559,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 offset-half,4,93.6,538,,True,
window,GDAL GTiff,zstd-band-1024,16x1024 offset-half b1,4,34.5,487,,True,
window,GDAL GTiff,zstd-band-1024,"band 1 only, full extent",4,65.1,1853,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 aligned,4,29.5,1705,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 aligned b1,4,24.8,677,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 offset-half,4,98.4,511,,True,
window,GDAL LIBERTIFF,zstd-band-1024,16x1024 offset-half b1,4,32.5,515,,True,
window,GDAL LIBERTIFF,zstd-band-1024,"band 1 only, full extent",4,56.4,2139,,True,
