section,engine,variant,case,threads,ms,mb_s,size_mb,pixels_ok,note
full,GDAL GTiff,orig,default,16,97.0,3730,236.7,True,
full,GDAL LIBERTIFF,orig,default,16,92.6,3905,236.7,True,
full,tifffile,orig,default,16,497.2,727,236.7,True,
full,GDAL GTiff,deflate-band-1024,default,16,102.1,3541,234.0,True,
full,GDAL LIBERTIFF,deflate-band-1024,default,16,93.3,3875,234.0,True,
full,tifffile,deflate-band-1024,default,16,481.5,751,234.0,True,
full,GDAL GTiff,zstd-band-1024,default,16,66.3,5453,230.4,True,
full,GDAL LIBERTIFF,zstd-band-1024,default,16,54.5,6638,230.4,True,
full,tifffile,zstd-band-1024,default,16,436.8,828,230.4,True,
full,GDAL GTiff,deflate-band-512,default,16,99.0,3653,232.8,True,
full,GDAL LIBERTIFF,deflate-band-512,default,16,86.8,4166,232.8,True,
full,tifffile,deflate-band-512,default,16,542.2,667,232.8,True,
full,GDAL GTiff,none-band-1024,default,16,28.3,12760,380.6,True,
full,GDAL LIBERTIFF,none-band-1024,default,16,27.1,13339,380.6,True,
full,tifffile,none-band-1024,default,16,566.5,638,380.6,True,
full,rumi,planar>pfor@1024,"bytes, verify=False",16,55.0,6574,249.8,True,
rumi,rumi,planar>pfor@1024,"path, verify=False",16,60.9,5942,249.8,True,
window,rumi,planar>pfor@1024,"band 1 only, full extent",16,44.5,2712,,True,
window,rumi,planar>pfor@1024,16x1024 aligned,16,58.3,863,,True,
window,rumi,planar>pfor@1024,16x1024 aligned b1,16,36.0,467,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half,16,93.9,536,,True,
window,rumi,planar>pfor@1024,16x1024 offset-half b1,16,71.6,234,,True,
full,rumi,planar>pfor@1024@b,"bytes, verify=False",16,43.0,8420,249.8,True,
rumi,rumi,planar>pfor@1024@b,"path, verify=False",16,47.8,7560,249.8,True,
window,rumi,planar>pfor@1024@b,"band 1 only, full extent",16,17.6,6848,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned,16,25.8,1953,,True,
window,rumi,planar>pfor@1024@b,16x1024 aligned b1,16,9.5,1761,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half,16,33.5,1501,,True,
window,rumi,planar>pfor@1024@b,16x1024 offset-half b1,16,26.4,637,,True,
full,rumi,planar>pfor@512,"bytes, verify=False",16,50.1,7221,249.7,True,
rumi,rumi,planar>pfor@512,"path, verify=False",16,59.3,6101,249.7,True,
window,rumi,planar>pfor@512,"band 1 only, full extent",16,28.7,4202,,True,
window,rumi,planar>pfor@512,16x1024 aligned,16,32.4,1553,,True,
window,rumi,planar>pfor@512,16x1024 aligned b1,16,17.7,950,,True,
window,rumi,planar>pfor@512,16x1024 offset-half,16,31.6,1592,,True,
window,rumi,planar>pfor@512,16x1024 offset-half b1,16,20.5,819,,True,
full,rumi,planar>zstd@1024,"bytes, verify=False",16,93.0,3890,224.2,True,
rumi,rumi,planar>zstd@1024,"path, verify=False",16,99.7,3629,224.2,True,
window,rumi,planar>zstd@1024,"band 1 only, full extent",16,81.9,1473,,True,
window,rumi,planar>zstd@1024,16x1024 aligned,16,97.3,517,,True,
window,rumi,planar>zstd@1024,16x1024 aligned b1,16,72.2,232,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half,16,184.8,272,,True,
window,rumi,planar>zstd@1024,16x1024 offset-half b1,16,164.4,102,,True,
rumi,rumi,planar>pfor@1024,"bytes, verify=True",16,78.8,4587,249.8,True,
rumi,rumi,planar>pfor@1024@b,"bytes, verify=True",16,48.3,7494,249.8,True,
