section,engine,variant,case,threads,ms,mb_s,size_mb,pixels_ok,note
full,GDAL GTiff,orig,default,32,73.4,4930,236.7,True,
full,GDAL LIBERTIFF,orig,default,32,72.8,4967,236.7,True,
full,tifffile,orig,default,32,492.4,735,236.7,True,
full,GDAL GTiff,deflate-band-1024,default,32,58.2,6216,234.0,True,
full,GDAL LIBERTIFF,deflate-band-1024,default,32,51.4,7041,234.0,True,
full,tifffile,deflate-band-1024,default,32,492.6,734,234.0,True,
full,GDAL GTiff,zstd-band-1024,default,32,41.0,8819,230.4,True,
full,GDAL LIBERTIFF,zstd-band-1024,default,32,35.4,10228,230.4,True,
full,tifffile,zstd-band-1024,default,32,468.6,772,230.4,True,
full,GDAL GTiff,deflate-band-512,default,32,58.1,6227,232.8,True,
full,GDAL LIBERTIFF,deflate-band-512,default,32,51.2,7066,232.8,True,
full,tifffile,deflate-band-512,default,32,580.2,623,232.8,True,
full,GDAL GTiff,none-band-1024,default,32,24.0,15100,380.6,True,
full,GDAL LIBERTIFF,none-band-1024,default,32,20.3,17849,380.6,True,
full,tifffile,none-band-1024,default,32,574.0,630,380.6,True,
config,GDAL GTiff,orig,threads: open-opt only,32,66.2,5466,,True,
config,GDAL GTiff,orig,threads: config only,32,63.1,5733,,True,
config,GDAL GTiff,orig,threads: ALL_CPUS cfg,32,60.9,5942,,True,
config,GDAL GTiff,orig,GDAL_CACHEMAX=16,32,66.7,5419,,True,
config,GDAL GTiff,orig,GDAL_CACHEMAX=64,32,69.8,5179,,True,
config,GDAL GTiff,orig,GDAL_CACHEMAX=512,32,67.7,5339,,True,
config,GDAL GTiff,orig,GDAL_CACHEMAX=4096,32,62.5,5784,,True,
config,GDAL GTiff,orig,"reuse ds, CACHEMAX=787",32,61.2,5911,,True,
config,GDAL GTiff,orig,"reuse ds, CACHEMAX=64",32,64.7,5591,,True,
config,GDAL GTiff,orig,prealloc buffer,32,57.3,6315,,True,
config,GDAL GTiff,orig,pixel-interleaved out,32,62.0,5836,,True,
config,GDAL GTiff,orig,pixel out + prealloc,32,51.7,6999,,True,
config,GDAL LIBERTIFF,orig,threads: open-opt only,32,56.9,6360,,True,
config,GDAL LIBERTIFF,orig,threads: config only,32,58.1,6221,,True,
config,GDAL LIBERTIFF,orig,threads: ALL_CPUS cfg,32,58.1,6226,,True,
config,GDAL LIBERTIFF,orig,GDAL_CACHEMAX=16,32,59.4,6089,,True,
config,GDAL LIBERTIFF,orig,GDAL_CACHEMAX=64,32,58.0,6237,,True,
config,GDAL LIBERTIFF,orig,GDAL_CACHEMAX=512,32,55.3,6538,,True,
config,GDAL LIBERTIFF,orig,GDAL_CACHEMAX=4096,32,57.9,6246,,True,
config,GDAL LIBERTIFF,orig,"reuse ds, CACHEMAX=787",32,54.2,6677,,True,
config,GDAL LIBERTIFF,orig,"reuse ds, CACHEMAX=64",32,52.5,6893,,True,
config,GDAL LIBERTIFF,orig,prealloc buffer,32,50.8,7126,,True,
config,GDAL LIBERTIFF,orig,pixel-interleaved out,32,54.1,6688,,True,
